42.7426,74.62387
21.3713,70.88595
10.6857,73.51363
5.34283,71.28687
2.67141,67.06558
1.33571,65.59947
1.20214,65.03096
1.08192,64.44364
0.97373,63.41379
0.87636,63.67910
0.78872,63.70897
0.70985,68.02885
0.63886,63.16265
0.57498,60.52054
0.51748,60.33252
0.46573,57.63170
0.41916,59.05000
0.37724,57.04925
0.33952,54.47318
0.30557,54.27023
0.27501,52.99080
0.24751,54.27442
0.22276,56.02142
0.20048,55.06306
0.18043,52.95568
0.17141,51.49514
0.16284,51.13044
0.15470,50.23965
0.14696,50.06538
0.13962,50.26584
0.13264,49.65172
0.12600,49.13000
0.11970,49.26586
0.11372,49.96411
0.10803,49.32148
0.10263,48.70176
0.09750,48.81425
0.09262,48.95033
0.08799,48.31016
0.08359,48.15415
0.07941,47.81339
0.07544,47.84642
0.07167,47.39542
0.06809,46.70941
0.06468,45.92040
0.06145,45.98178
0.05838,45.72092
0.05546,45.89643
0.05268,45.71956
0.05005,45.70250
0.04755,45.73094
0.04517,45.60187
0.04291,44.60948
0.04077,44.54079
0.03873,44.24716
0.03679,44.10398
0.03495,43.94533
0.03320,43.96325
0.03154,43.33250
0.02997,43.10034
0.02847,43.59592
0.02705,42.99456
0.02569,43.30002
0.02441,42.47088
0.02319,42.02924
0.02203,42.02302
0.02093,42.34849
0.01988,41.81707
0.01889,41.39297
0.01794,41.40008
0.01705,41.28865
0.01619,41.14974
0.01538,40.86903
0.01461,40.74255
0.01388,40.55308
0.01319,40.45164
0.01253,40.39694
0.01190,40.16734
0.01131,40.03940
0.01074,40.00616
0.01021,39.85388
0.00970,39.66858
0.00921,39.57978
0.00875,39.61802
0.00831,39.43087
0.00790,39.35965
0.00750,39.31071
0.00713,39.26549
0.00677,39.24200
0.00643,39.18614
0.00611,39.01954
0.00580,38.92489
0.00551,38.78374
0.00524,38.77112
0.00498,38.72473
0.00473,38.64009
0.00449,38.64972
0.00427,38.60902
0.00405,38.52451
0.00385,38.47056
0.00366,38.44146
0.00348,38.40791
0.00330,38.41121
0.00314,38.41032
0.00298,38.38286
0.00283,38.32753
0.00269,38.32946
0.00255,38.32599
0.00243,38.31752
0.00231,38.31276
0.00219,38.30960
0.00208,38.30698
0.00198,38.28154
0.00188,38.27866
0.00178,38.28135
0.00169,38.28908
0.00161,38.29130
0.00153,38.27438
0.00145,38.27241
0.00138,38.28194
0.00131,38.28319
0.00125,38.27879
0.00118,38.28113
0.00112,38.28058
0.00107,38.27885
0.00101,38.27080
0.00096,38.26879
0.00092,38.27242
0.00087,38.26678
0.00083,38.26677
0.00079,38.26671
0.00075,38.27078
0.00071,38.26498
0.00067,38.26513
0.00064,38.26386
0.00061,38.26417
0.00058,38.26172
0.00055,38.26268
0.00052,38.26427
0.00049,38.26476
0.00047,38.26360
0.00045,38.26595
0.00042,38.26071
0.00000,38.25751
